,batch_id,comparison_id,document_id,result,hit_id,worker_id,completed_at
990,24,5749,4980,0,3KA7IJSNW6FH50V0GLGIR9LVN5PPBW,A365SN61J4UNGR,2015-10-15 09:03:04 UTC
991,24,5784,5011,0,31N9JPQXIPSRTSM90YDM9VJYI3UHN9,A38K3QQPV8CTPC,2015-10-15 09:03:23 UTC
992,24,5784,4974,1,31N9JPQXIPSRTSM90YDM9VJYI3UHN9,A38K3QQPV8CTPC,2015-10-15 09:03:23 UTC
993,24,5842,4996,0,3UZUVSO3P759R0A7YWQGBDXLLXRMEX,A1MYLQQL8BBOYT,2015-10-15 09:04:28 UTC
994,24,5842,5002,1,3UZUVSO3P759R0A7YWQGBDXLLXRMEX,A1MYLQQL8BBOYT,2015-10-15 09:04:28 UTC
995,24,5766,4976,1,3WUVMVA7OBD60USEXGEONW33FMBZAW,A365SN61J4UNGR,2015-10-15 09:03:16 UTC
996,24,5766,5004,0,3WUVMVA7OBD60USEXGEONW33FMBZAW,A365SN61J4UNGR,2015-10-15 09:03:16 UTC
997,24,5860,4997,0,3ZXV7Q5FJBYOOSYCGIG8QZD93K3FCR,A18TCR555RWUZV,2015-10-15 09:04:34 UTC
998,24,5860,5015,1,3ZXV7Q5FJBYOOSYCGIG8QZD93K3FCR,A18TCR555RWUZV,2015-10-15 09:04:34 UTC
999,24,5748,4974,0,3CMV9YRYP3BXWYEECL0S8GVOQ0XJLD,A2CF2BD4Q0ZDJN,2015-10-15 09:03:03 UTC
1000,24,5748,5020,1,3CMV9YRYP3BXWYEECL0S8GVOQ0XJLD,A2CF2BD4Q0ZDJN,2015-10-15 09:03:03 UTC
1001,25,5922,5000,1,3UQ1LLR26AIMV5BAIFNFFHS50D4LA0,A2QLSHXNCHBRN4,2015-10-15 09:04:55 UTC
